Année;Polluant;Fuel;Emissions;Type de véhicule
1995;benzène;GNV;0.0;Poids lours
1996;benzène;GNV;0.0;Poids lours
1997;benzène;GNV;0.0;Poids lours
1998;benzène;GNV;0.0;Poids lours
1999;benzène;GNV;0.0;Poids lours
2000;benzène;GNV;0.0;Poids lours
2001;benzène;GNV;0.0;Poids lours
2002;benzène;GNV;0.0;Poids lours
2003;benzène;GNV;0.0;Poids lours
2004;benzène;GNV;0.0;Poids lours
2005;benzène;GNV;0.0;Poids lours
2006;benzène;GNV;0.0;Poids lours
2007;benzène;GNV;0.0;Poids lours
2008;benzène;GNV;0.0;Poids lours
2009;benzène;GNV;0.0;Poids lours
1990;NOx;Electriques;0.0;Poids lours
1991;NOx;Electriques;0.0;Poids lours
1992;NOx;Electriques;0.0;Poids lours
1993;NOx;Electriques;0.0;Poids lours
1994;NOx;Electriques;0.0;Poids lours
1995;NOx;Electriques;0.0;Poids lours
1996;NOx;Electriques;0.0;Poids lours
1997;NOx;Electriques;0.0;Poids lours
1998;NOx;Electriques;0.0;Poids lours
1999;NOx;Electriques;0.0;Poids lours
2000;NOx;Electriques;0.0;Poids lours
2001;NOx;Electriques;0.0;Poids lours
2002;NOx;Electriques;0.0;Poids lours
2003;NOx;Electriques;0.0;Poids lours
2004;NOx;Electriques;0.0;Poids lours
2005;NOx;Electriques;0.0;Poids lours
2006;NOx;Electriques;0.0;Poids lours
2007;NOx;Electriques;0.0;Poids lours
2008;NOx;Electriques;0.0;Poids lours
2009;NOx;Electriques;0.0;Poids lours
1990;COVNM;Electriques;0.0;Poids lours
1991;COVNM;Electriques;0.0;Poids lours
1992;COVNM;Electriques;0.0;Poids lours
1993;COVNM;Electriques;0.0;Poids lours
1994;COVNM;Electriques;0.0;Poids lours
1995;COVNM;Electriques;0.0;Poids lours
1996;COVNM;Electriques;0.0;Poids lours
1997;COVNM;Electriques;0.0;Poids lours
1998;COVNM;Electriques;0.0;Poids lours
1999;COVNM;Electriques;0.0;Poids lours
2000;COVNM;Electriques;0.0;Poids lours
2001;COVNM;Electriques;0.0;Poids lours
2002;COVNM;Electriques;0.0;Poids lours
2003;COVNM;Electriques;0.0;Poids lours
2004;COVNM;Electriques;0.0;Poids lours
2005;COVNM;Electriques;0.0;Poids lours
2006;COVNM;Electriques;0.0;Poids lours
2007;COVNM;Electriques;0.0;Poids lours
2008;COVNM;Electriques;0.0;Poids lours
