Année;Régions;Départements;Fuel;Nb_véhicules
2013;Pays de la Loire;Vendée;Gazole;81499
2013;Pays de la Loire;Mayenne;Gazole;34613
2013;Pays de la Loire;Sarthe;Gazole;56581
2013;Pays de la Loire;Maine-et-Loire;Gazole;81509
2013;Pays de la Loire;Loire-Atlantique;Gazole;142625
2013;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;Gazole;93696
2013;Provence-Alpes-Côte d'Azur;Vaucluse;Gazole;72473
2013;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;Gazole;192067
2013;Provence-Alpes-Côte d'Azur;Hautes-Alpes;Gazole;18085
2013;Provence-Alpes-Côte d'Azur;Alpes-de-Haute-Provence;Gazole;20181
2013;Provence-Alpes-Côte d'Azur;Var;Gazole;102143
2013;Île-de-France;Essonne;Gazole;98806
2013;Île-de-France;Val-d'Oise;Gazole;95229
2013;Île-de-France;Seine-et-Marne;Gazole;111717
2013;Île-de-France;Seine-Saint-Denis;Gazole;145371
2013;Île-de-France;Paris;Gazole;126826
2013;Île-de-France;Hauts-de-Seine;Gazole;122362
2013;Île-de-France;Val-de-Marne;Gazole;91831
2013;Île-de-France;Yvelines;Gazole;107672
2014;Auvergne-Rhône-Alpes;Ain;Gazole;63191
2014;Auvergne-Rhône-Alpes;Allier;Gazole;36538
2014;Auvergne-Rhône-Alpes;Haute-Loire;Gazole;27662
2014;Auvergne-Rhône-Alpes;Savoie;Gazole;54852
2014;Auvergne-Rhône-Alpes;Rhône;Gazole;199764
2014;Auvergne-Rhône-Alpes;Ardèche;Gazole;37054
2014;Auvergne-Rhône-Alpes;Puy-de-Dôme;Gazole;66877
2014;Auvergne-Rhône-Alpes;Haute-Savoie;Gazole;83526
2014;Auvergne-Rhône-Alpes;Loire;Gazole;78976
2014;Auvergne-Rhône-Alpes;Drôme;Gazole;65217
2014;Auvergne-Rhône-Alpes;Cantal;Gazole;20030
2014;Auvergne-Rhône-Alpes;Isère;Gazole;129015
2014;Bourgogne-Franche-Comté;Doubs;Gazole;51152
2014;Bourgogne-Franche-Comté;Côte-d'Or;Gazole;59458
2014;Bourgogne-Franche-Comté;Haute-Saône;Gazole;26187
2014;Bourgogne-Franche-Comté;Yonne;Gazole;40247
2014;Bourgogne-Franche-Comté;Jura;Gazole;29858
2014;Bourgogne-Franche-Comté;Nièvre;Gazole;23357
2014;Bourgogne-Franche-Comté;Saône-et-Loire;Gazole;62380
2014;Bourgogne-Franche-Comté;Territoire de Belfort;Gazole;10413
2014;Bretagne;Ille-et-Vilaine;Gazole;110031
2014;Bretagne;Morbihan;Gazole;82483
2014;Bretagne;Côtes-d'Armor;Gazole;70935
2014;Bretagne;Finistère;Gazole;99032
2014;Centre-Val de Loire;Loir-et-Cher;Gazole;38090
2014;Centre-Val de Loire;Loiret;Gazole;71073
2014;Centre-Val de Loire;Indre-et-Loire;Gazole;64540
2014;Centre-Val de Loire;Eure-et-Loir;Gazole;47334
2014;Centre-Val de Loire;Indre;Gazole;27740
2014;Centre-Val de Loire;Cher;Gazole;33398
2014;Corse;Corse-du-Sud;Gazole;23630
2014;Corse;Haute-Corse;Gazole;25741
2014;Grand Est;Bas-Rhin;Gazole;96803
2014;Grand Est;Vosges;Gazole;39412
2014;Grand Est;Marne;Gazole;80506
2014;Grand Est;Meurthe-et-Moselle;Gazole;62360
2014;Grand Est;Haute-Marne;Gazole;19942
2014;Grand Est;Meuse;Gazole;19409
2014;Grand Est;Aube;Gazole;34916
2014;Grand Est;Haut-Rhin;Gazole;63508
2014;Grand Est;Moselle;Gazole;78364
2014;Grand Est;Ardennes;Gazole;25986
2014;Hauts-de-France;Somme;Gazole;55881
2014;Hauts-de-France;Nord;Gazole;183866
2014;Hauts-de-France;Oise;Gazole;97709
2014;Hauts-de-France;Aisne;Gazole;51866
2014;Hauts-de-France;Pas-de-Calais;Gazole;109957
2014;Normandie;Eure;Gazole;58577
2014;Normandie;Orne;Gazole;36322
2014;Normandie;Manche;Gazole;57822
2014;Normandie;Seine-Maritime;Gazole;135146
2014;Normandie;Calvados;Gazole;72342
2014;Nouvelle-Aquitaine;Landes;Gazole;45855
2014;Nouvelle-Aquitaine;Pyrénées-Atlantiques;Gazole;71901
2014;Nouvelle-Aquitaine;Dordogne;Gazole;53476
2014;Nouvelle-Aquitaine;Vienne;Gazole;48511
2014;Nouvelle-Aquitaine;Gironde;Gazole;158564
2014;Nouvelle-Aquitaine;Deux-Sèvres;Gazole;50902
2014;Nouvelle-Aquitaine;Haute-Vienne;Gazole;38613
2014;Nouvelle-Aquitaine;Creuse;Gazole;15541
2014;Nouvelle-Aquitaine;Corrèze;Gazole;29580
2014;Nouvelle-Aquitaine;Lot-et-Garonne;Gazole;44199
2014;Nouvelle-Aquitaine;Charente;Gazole;41604
2014;Nouvelle-Aquitaine;Charente-Maritime;Gazole;75439
2014;Occitanie;Hérault;Gazole;111005
2014;Occitanie;Pyrénées-Orientales;Gazole;43917
2014;Occitanie;Tarn;Gazole;40921
2014;Occitanie;Ariège;Gazole;17172
2014;Occitanie;Gard;Gazole;80573
2014;Occitanie;Aveyron;Gazole;39121
2014;Occitanie;Haute-Garonne;Gazole;124018
2014;Occitanie;Lot;Gazole;23587
2014;Occitanie;Aude;Gazole;39777
2014;Occitanie;Tarn-et-Garonne;Gazole;30647
2014;Occitanie;Hautes-Pyrénées;Gazole;24284
2014;Occitanie;Gers;Gazole;28098
2014;Occitanie;Lozère;Gazole;12080
2014;Pays de la Loire;Vendée;Gazole;82436
2014;Pays de la Loire;Mayenne;Gazole;34847
2014;Pays de la Loire;Sarthe;Gazole;57321
2014;Pays de la Loire;Maine-et-Loire;Gazole;82746
2014;Pays de la Loire;Loire-Atlantique;Gazole;146087
2014;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;Gazole;94701
2014;Provence-Alpes-Côte d'Azur;Vaucluse;Gazole;73915
2014;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;Gazole;196723
2014;Provence-Alpes-Côte d'Azur;Hautes-Alpes;Gazole;18373
2014;Provence-Alpes-Côte d'Azur;Alpes-de-Haute-Provence;Gazole;20517
2014;Provence-Alpes-Côte d'Azur;Var;Gazole;103195
2014;Île-de-France;Essonne;Gazole;101606
2014;Île-de-France;Val-d'Oise;Gazole;98580
2014;Île-de-France;Seine-et-Marne;Gazole;115734
2014;Île-de-France;Seine-Saint-Denis;Gazole;149962
2014;Île-de-France;Paris;Gazole;129995
2014;Île-de-France;Hauts-de-Seine;Gazole;123043
2014;Île-de-France;Val-de-Marne;Gazole;92969
2014;Île-de-France;Yvelines;Gazole;109105
2015;Auvergne-Rhône-Alpes;Ain;Gazole;63388
2015;Auvergne-Rhône-Alpes;Allier;Gazole;36709
2015;Auvergne-Rhône-Alpes;Haute-Loire;Gazole;27657
2015;Auvergne-Rhône-Alpes;Savoie;Gazole;55732
2015;Auvergne-Rhône-Alpes;Rhône;Gazole;201610
2015;Auvergne-Rhône-Alpes;Ardèche;Gazole;37130
