Année;Régions;Départements;Fuel;Nb_véhicules
2013;Occitanie;Pyrénées-Orientales;Essence+Superéthanol;82265
2013;Occitanie;Tarn;Essence+Superéthanol;54332
2013;Occitanie;Ariège;Essence+Superéthanol;19416
2013;Occitanie;Gard;Essence+Superéthanol;123204
2013;Occitanie;Aveyron;Essence+Superéthanol;34990
2013;Occitanie;Haute-Garonne;Essence+Superéthanol;212670
2013;Occitanie;Lot;Essence+Superéthanol;24439
2013;Occitanie;Aude;Essence+Superéthanol;52661
2013;Occitanie;Tarn-et-Garonne;Essence+Superéthanol;31244
2013;Occitanie;Hautes-Pyrénées;Essence+Superéthanol;35182
2013;Occitanie;Gers;Essence+Superéthanol;23184
2013;Occitanie;Lozère;Essence+Superéthanol;9543
2013;Pays de la Loire;Vendée;Essence+Superéthanol;98310
2013;Pays de la Loire;Mayenne;Essence+Superéthanol;37441
2013;Pays de la Loire;Sarthe;Essence+Superéthanol;83629
2013;Pays de la Loire;Maine-et-Loire;Essence+Superéthanol;111414
2013;Pays de la Loire;Loire-Atlantique;Essence+Superéthanol;228171
2013;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;Essence+Superéthanol;291133
2013;Provence-Alpes-Côte d'Azur;Vaucluse;Essence+Superéthanol;99446
2013;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;Essence+Superéthanol;371394
2013;Provence-Alpes-Côte d'Azur;Hautes-Alpes;Essence+Superéthanol;23127
2013;Provence-Alpes-Côte d'Azur;Alpes-de-Haute-Provence;Essence+Superéthanol;27446
2013;Provence-Alpes-Côte d'Azur;Var;Essence+Superéthanol;237706
2013;Île-de-France;Essonne;Essence+Superéthanol;240834
2013;Île-de-France;Val-d'Oise;Essence+Superéthanol;214459
2013;Île-de-France;Seine-et-Marne;Essence+Superéthanol;223768
2013;Île-de-France;Seine-Saint-Denis;Essence+Superéthanol;193955
2013;Île-de-France;Paris;Essence+Superéthanol;319425
2013;Île-de-France;Hauts-de-Seine;Essence+Superéthanol;312379
2013;Île-de-France;Val-de-Marne;Essence+Superéthanol;240331
2013;Île-de-France;Yvelines;Essence+Superéthanol;336365
2014;Auvergne-Rhône-Alpes;Ain;Essence+Superéthanol;108777
2014;Auvergne-Rhône-Alpes;Allier;Essence+Superéthanol;52279
2014;Auvergne-Rhône-Alpes;Haute-Loire;Essence+Superéthanol;29941
2014;Auvergne-Rhône-Alpes;Savoie;Essence+Superéthanol;73994
2014;Auvergne-Rhône-Alpes;Rhône;Essence+Superéthanol;301930
2014;Auvergne-Rhône-Alpes;Ardèche;Essence+Superéthanol;48545
2014;Auvergne-Rhône-Alpes;Puy-de-Dôme;Essence+Superéthanol;100686
2014;Auvergne-Rhône-Alpes;Haute-Savoie;Essence+Superéthanol;175238
2014;Auvergne-Rhône-Alpes;Loire;Essence+Superéthanol;110871
2014;Auvergne-Rhône-Alpes;Drôme;Essence+Superéthanol;80429
2014;Auvergne-Rhône-Alpes;Cantal;Essence+Superéthanol;18410
2014;Auvergne-Rhône-Alpes;Isère;Essence+Superéthanol;212872
2014;Bourgogne-Franche-Comté;Doubs;Essence+Superéthanol;90034
2014;Bourgogne-Franche-Comté;Côte-d'Or;Essence+Superéthanol;85483
2014;Bourgogne-Franche-Comté;Haute-Saône;Essence+Superéthanol;32338
2014;Bourgogne-Franche-Comté;Yonne;Essence+Superéthanol;47191
2014;Bourgogne-Franche-Comté;Jura;Essence+Superéthanol;39408
2014;Bourgogne-Franche-Comté;Nièvre;Essence+Superéthanol;31097
2014;Bourgogne-Franche-Comté;Saône-et-Loire;Essence+Superéthanol;86255
2014;Bourgogne-Franche-Comté;Territoire de Belfort;Essence+Superéthanol;25797
2014;Bretagne;Ille-et-Vilaine;Essence+Superéthanol;139423
2014;Bretagne;Morbihan;Essence+Superéthanol;107566
2014;Bretagne;Côtes-d'Armor;Essence+Superéthanol;81705
2014;Bretagne;Finistère;Essence+Superéthanol;140736
2014;Centre-Val de Loire;Loir-et-Cher;Essence+Superéthanol;47694
2014;Centre-Val de Loire;Loiret;Essence+Superéthanol;105696
2014;Centre-Val de Loire;Indre-et-Loire;Essence+Superéthanol;94037
2014;Centre-Val de Loire;Eure-et-Loir;Essence+Superéthanol;64036
2014;Centre-Val de Loire;Indre;Essence+Superéthanol;27286
2014;Centre-Val de Loire;Cher;Essence+Superéthanol;43835
2014;Corse;Corse-du-Sud;Essence+Superéthanol;38823
2014;Corse;Haute-Corse;Essence+Superéthanol;35202
2014;Grand Est;Bas-Rhin;Essence+Superéthanol;192686
2014;Grand Est;Vosges;Essence+Superéthanol;53855
2014;Grand Est;Marne;Essence+Superéthanol;94822
2014;Grand Est;Meurthe-et-Moselle;Essence+Superéthanol;114378
2014;Grand Est;Haute-Marne;Essence+Superéthanol;22691
2014;Grand Est;Meuse;Essence+Superéthanol;23485
